EventTitle,URL
Cormier vs Johnson 2,https://www.ufc.com/event/ufc-210
Manuwa vs Anderson,https://www.ufc.com/event/ufc-fight-night-london-2017
Belfort vs Gastelum,https://www.ufc.com/event/ufc-fight-night-brazil-march-2017
Woodley vs Thompson 2,https://www.ufc.com/event/ufc-209
Lewis vs Browne,https://www.ufc.com/event/ufc-fight-night-halifax-2017
Holm vs de Randamie,https://www.ufc.com/event/ufc-208
Bermudez vs Korean Zombie,https://www.ufc.com/event/ufc-fight-night-houston-2017
Shevchenko vs Peña,https://www.ufc.com/event/ufc-fight-night-denver-2017
Rodriguez vs Penn,https://www.ufc.com/event/ufc-fight-night-phoenix-2016
Nunes vs Rousey,https://www.ufc.com/event/ufc-207
VanZant vs Waterson,https://www.ufc.com/event/ufc-fight-night-sacramento
Holloway vs Pettis,https://www.ufc.com/event/ufc-206
Lewis vs Abdurakhimov,https://www.ufc.com/event/ufc-fight-night-albany
A Tournament of Champions,https://www.ufc.com/event/the-ultimate-fighter-24-finale
Whittaker vs Brunson,https://www.ufc.com/event/ufc-fight-night-melbourne-2016
Bader vs Nogueira,https://www.ufc.com/event/ufc-fight-night-brazil-nov-19-2016
Mousasi vs Hall 2,https://www.ufc.com/event/ufc-fight-night-belfast
Alvarez vs McGregor,https://www.ufc.com/event/ufc-205
Dos Anjos vs Ferguson,https://www.ufc.com/event/ufc-fight-night-mexico-city-2016
Bisping vs Henderson 2,https://www.ufc.com/event/ufc-204
Lineker vs Dodson,https://www.ufc.com/event/ufc-fight-night-portland
Cyborg vs Lansberg,https://www.ufc.com/event/ufc-fight-night-brasilia-2016
Poirier vs Johnson,https://www.ufc.com/event/ufc-fight-night-hidalgo
Miocic vs Overeem,https://www.ufc.com/event/ufc-203
Arlovski vs Barnett,https://www.ufc.com/event/ufc-fight-night-hamburg-2016
Maia vs Condit,https://www.ufc.com/event/ufc-fight-night-vancouver-2016
Diaz vs McGregor 2,https://www.ufc.com/event/ufc-202
Rodriguez vs Caceres,https://www.ufc.com/event/ufc-fight-night-salt-lake-city
Lawler vs Woodley,https://www.ufc.com/event/ufc-201
Holm vs Shevchenko,https://www.ufc.com/event/ufc-fight-night-chicago-2016
McDonald vs Lineker,https://www.ufc.com/event/ufc-fight-night-sioux-falls
Tate vs Nunes,https://www.ufc.com/event/ufc-200
Team Joanna vs Team Claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia
